model,level,example_id,strict_quality,lenient_quality,content_presence,judge_quality,parse_path
gpt-4o-mini,1,0,0.0,0.75,1.0,0.8,bold_keys
gpt-4o-mini,1,1,0.0,0.5,0.75,0.8,markdown_list
gpt-4o-mini,1,2,0.0,0.5,0.75,0.85,markdown_list
gpt-4o-mini,1,3,0.0,0.5,1.0,0.7,markdown_list
gpt-4o-mini,1,4,0.0,0.5,1.0,0.8,markdown_list
gpt-4o-mini,1,5,0.0,0.5,1.0,0.75,markdown_list
gpt-4o-mini,1,6,0.0,0.5,0.75,0.85,markdown_list
gpt-4o-mini,1,7,0.0,0.5,1.0,0.7,markdown_list
gpt-4o-mini,1,8,0.0,0.75,0.75,0.75,bold_keys
gpt-4o-mini,1,9,0.0,0.5,1.0,0.8,markdown_list
gpt-4o-mini,1,10,0.0,0.75,0.75,0.8,markdown_list
gpt-4o-mini,1,11,0.0,0.0,0.5,0.8,markdown_list
gpt-4o-mini,1,12,0.0,0.5,0.5,0.7,markdown_list
gpt-4o-mini,1,13,0.0,0.5,1.0,0.8,markdown_list
gpt-4o-mini,1,14,0.0,0.5,1.0,0.8,markdown_list
gpt-4o-mini,1,15,0.0,0.75,1.0,0.8,markdown_list
gpt-4o-mini,1,16,0.0,0.75,1.0,0.75,markdown_list
gpt-4o-mini,1,17,0.0,0.75,1.0,0.75,markdown_list
gpt-4o-mini,1,18,0.0,0.25,0.5,0.8,bold_keys
gpt-4o-mini,1,19,0.0,0.5,1.0,0.8,markdown_list
gpt-4o-mini,2,0,0.0,1.0,1.0,0.85,markdown_list
gpt-4o-mini,2,1,0.0,1.0,1.0,0.75,markdown_list
gpt-4o-mini,2,2,0.0,1.0,1.0,1.0,markdown_list
gpt-4o-mini,2,3,0.0,1.0,1.0,0.7,markdown_list
gpt-4o-mini,2,4,0.0,1.0,1.0,0.8,markdown_list
gpt-4o-mini,2,5,0.0,0.75,1.0,0.8,markdown_list
gpt-4o-mini,2,6,0.0,0.75,0.75,0.8,markdown_list
gpt-4o-mini,2,7,0.0,1.0,1.0,0.75,markdown_list
gpt-4o-mini,2,8,0.0,1.0,1.0,1.0,markdown_list
gpt-4o-mini,2,9,0.0,1.0,1.0,0.85,markdown_list
gpt-4o-mini,2,10,0.0,1.0,0.75,0.8,markdown_list
gpt-4o-mini,2,11,0.0,0.75,0.75,0.8,markdown_list
gpt-4o-mini,2,12,0.0,1.0,0.75,0.8,markdown_list
gpt-4o-mini,2,13,0.0,1.0,1.0,0.75,markdown_list
gpt-4o-mini,2,14,0.0,1.0,1.0,0.95,markdown_list
gpt-4o-mini,2,15,0.0,1.0,1.0,1.0,markdown_list
gpt-4o-mini,2,16,0.0,1.0,1.0,0.8,markdown_list
gpt-4o-mini,2,17,0.0,1.0,1.0,0.7,markdown_list
gpt-4o-mini,2,18,0.0,0.75,0.75,1.0,markdown_list
gpt-4o-mini,2,19,0.0,1.0,1.0,0.8,markdown_list
gpt-4o-mini,3,0,1.0,1.0,1.0,0.85,json
gpt-4o-mini,3,1,1.0,1.0,1.0,0.8,json
gpt-4o-mini,3,2,1.0,1.0,1.0,1.0,json
gpt-4o-mini,3,3,0.75,1.0,1.0,0.7,json
gpt-4o-mini,3,4,1.0,1.0,1.0,0.8,json
gpt-4o-mini,3,5,0.75,0.75,1.0,0.8,json
gpt-4o-mini,3,6,1.0,1.0,1.0,0.85,json
gpt-4o-mini,3,7,1.0,1.0,1.0,0.7,json
gpt-4o-mini,3,8,1.0,1.0,1.0,1.0,json
gpt-4o-mini,3,9,1.0,1.0,1.0,0.8,json
gpt-4o-mini,3,10,0.75,1.0,0.75,0.8,json
gpt-4o-mini,3,11,0.75,0.75,0.75,0.85,json
gpt-4o-mini,3,12,0.5,0.75,0.75,0.75,json
gpt-4o-mini,3,13,0.75,1.0,1.0,0.85,json
gpt-4o-mini,3,14,1.0,1.0,1.0,0.8,json
gpt-4o-mini,3,15,1.0,1.0,1.0,0.85,json
gpt-4o-mini,3,16,0.75,1.0,1.0,0.8,json
gpt-4o-mini,3,17,0.75,1.0,1.0,0.8,json
gpt-4o-mini,3,18,0.75,0.75,0.75,0.85,json
gpt-4o-mini,3,19,0.75,1.0,1.0,0.85,json
gpt-4o-mini,4,0,1.0,1.0,1.0,0.8,json
gpt-4o-mini,4,1,1.0,1.0,1.0,1.0,json
gpt-4o-mini,4,2,1.0,1.0,1.0,0.8,json
gpt-4o-mini,4,3,0.75,1.0,1.0,0.7,json
gpt-4o-mini,4,4,0.75,1.0,1.0,0.75,json
gpt-4o-mini,4,5,1.0,1.0,1.0,1.0,json
gpt-4o-mini,4,6,0.75,0.75,0.75,0.8,json
gpt-4o-mini,4,7,1.0,1.0,1.0,0.8,json
