task,model,perm_id,mechanism,position,marginal
classification,gemini-flash,perm_0,edge_cases,1,-0.1429
classification,gemini-flash,perm_0,format_spec,2,0.0
classification,gemini-flash,perm_0,definitions,3,0.0
classification,gemini-flash,perm_0,persona,4,0.0
classification,gemini-flash,perm_0,task_label,5,0.1429
classification,gemini-flash,perm_0,example,6,0.0
classification,gemini-flash,perm_1,edge_cases,1,-0.1429
classification,gemini-flash,perm_1,task_label,2,0.0
classification,gemini-flash,perm_1,definitions,3,0.0
classification,gemini-flash,perm_1,persona,4,0.0
classification,gemini-flash,perm_1,example,5,0.1429
classification,gemini-flash,perm_1,format_spec,6,0.0
classification,gemini-flash,perm_2,edge_cases,1,0.0
classification,gemini-flash,perm_2,format_spec,2,0.0
classification,gemini-flash,perm_2,definitions,3,0.0
classification,gemini-flash,perm_2,task_label,4,0.1429
classification,gemini-flash,perm_2,persona,5,0.0
classification,gemini-flash,perm_2,example,6,0.0
classification,gemini-flash,perm_3,format_spec,1,0.0
classification,gemini-flash,perm_3,definitions,2,0.1429
classification,gemini-flash,perm_3,edge_cases,3,-0.1429
classification,gemini-flash,perm_3,persona,4,0.0
classification,gemini-flash,perm_3,example,5,0.2857
classification,gemini-flash,perm_3,task_label,6,0.0
classification,gemini-flash,perm_4,format_spec,1,0.0
classification,gemini-flash,perm_4,edge_cases,2,-0.1429
classification,gemini-flash,perm_4,definitions,3,0.0
classification,gemini-flash,perm_4,task_label,4,0.1429
classification,gemini-flash,perm_4,example,5,0.1429
classification,gemini-flash,perm_4,persona,6,0.0
product_extraction,gemini-flash,perm_0,edge_cases,1,0.1429
product_extraction,gemini-flash,perm_0,format_spec,2,0.1429
product_extraction,gemini-flash,perm_0,definitions,3,-0.0357
product_extraction,gemini-flash,perm_0,persona,4,0.0
product_extraction,gemini-flash,perm_0,task_label,5,0.0357
product_extraction,gemini-flash,perm_0,example,6,-0.0357
product_extraction,gemini-flash,perm_1,edge_cases,1,0.1429
product_extraction,gemini-flash,perm_1,task_label,2,0.1429
product_extraction,gemini-flash,perm_1,definitions,3,0.0
product_extraction,gemini-flash,perm_1,persona,4,0.0
product_extraction,gemini-flash,perm_1,example,5,0.0
product_extraction,gemini-flash,perm_1,format_spec,6,0.0
product_extraction,gemini-flash,perm_2,edge_cases,1,0.1071
product_extraction,gemini-flash,perm_2,format_spec,2,0.1786
product_extraction,gemini-flash,perm_2,definitions,3,-0.0357
product_extraction,gemini-flash,perm_2,task_label,4,0.0
product_extraction,gemini-flash,perm_2,persona,5,-0.0357
product_extraction,gemini-flash,perm_2,example,6,0.0
product_extraction,gemini-flash,perm_3,format_spec,1,0.3214
product_extraction,gemini-flash,perm_3,definitions,2,-0.0714
product_extraction,gemini-flash,perm_3,edge_cases,3,0.0357
