model,level,example_id,strict_quality,lenient_quality,content_presence,stored_quality,parse_path
llama-3.1-8b,1,0,0.0,0.0,1.0,0.0,markdown_list
llama-3.1-8b,1,1,0.0,0.0,0.5,0.0,markdown_list
llama-3.1-8b,1,2,0.0,0.0,1.0,0.0,markdown_list
llama-3.1-8b,1,3,0.0,0.5,1.0,0.0,markdown_list
llama-3.1-8b,1,4,0.0,0.0,1.0,0.0,markdown_list
llama-3.1-8b,1,5,0.0,0.0,0.6667,0.0,markdown_list
llama-3.1-8b,1,6,0.0,0.0,1.0,0.0,markdown_list
llama-3.1-8b,1,7,0.0,0.0,0.5,0.0,markdown_list
llama-3.1-8b,1,8,0.0,1.0,1.0,0.0,markdown_list
llama-3.1-8b,1,9,0.0,0.0,1.0,0.0,markdown_list
llama-3.1-8b,1,10,0.0,0.0,1.0,0.0,markdown_list
llama-3.1-8b,1,11,0.0,0.0,1.0,0.0,markdown_list
llama-3.1-8b,1,12,0.0,1.0,1.0,0.0,markdown_list
llama-3.1-8b,1,13,0.0,0.5,1.0,0.0,markdown_list
llama-3.1-8b,1,14,0.0,1.0,1.0,0.0,markdown_list
llama-3.1-8b,1,15,0.0,0.0,1.0,0.0,markdown_list
llama-3.1-8b,1,16,0.0,0.0,1.0,0.0,markdown_list
llama-3.1-8b,1,17,0.0,0.0,0.8333,0.0,markdown_list
llama-3.1-8b,1,18,0.0,0.8333,1.0,0.0,markdown_list
llama-3.1-8b,1,19,0.0,0.0,0.5,0.0,markdown_list
llama-3.1-8b,2,0,0.0,1.0,1.0,0.0,markdown_list
llama-3.1-8b,2,1,0.0,1.0,1.0,0.0,markdown_list
llama-3.1-8b,2,2,0.0,0.0,1.0,0.0,markdown_list
llama-3.1-8b,2,3,0.0,1.0,1.0,0.0,markdown_list
llama-3.1-8b,2,4,0.0,1.0,1.0,0.0,markdown_list
llama-3.1-8b,2,5,0.0,1.0,1.0,0.0,markdown_list
llama-3.1-8b,2,6,0.0,1.0,1.0,0.0,markdown_list
llama-3.1-8b,2,7,0.0,0.8333,1.0,0.0,markdown_list
llama-3.1-8b,2,8,0.0,0.8333,1.0,0.0,markdown_list
llama-3.1-8b,2,9,0.0,1.0,1.0,0.0,markdown_list
llama-3.1-8b,2,10,0.0,0.6667,1.0,0.0,markdown_list
llama-3.1-8b,2,11,0.0,1.0,1.0,0.0,markdown_list
llama-3.1-8b,2,12,0.0,1.0,1.0,0.0,markdown_list
llama-3.1-8b,2,13,0.0,0.5,1.0,0.0,markdown_list
llama-3.1-8b,2,14,0.0,0.8333,1.0,0.0,markdown_list
llama-3.1-8b,2,15,0.0,1.0,1.0,0.0,markdown_list
llama-3.1-8b,2,16,0.0,0.8333,1.0,0.0,markdown_list
llama-3.1-8b,2,17,0.0,0.45,1.0,0.0,markdown_list
llama-3.1-8b,2,18,0.0,0.75,1.0,0.0,markdown_list
llama-3.1-8b,2,19,0.0,1.0,1.0,0.0,markdown_list
llama-3.1-8b,3,0,1.0,1.0,1.0,1.0,json
llama-3.1-8b,3,1,1.0,1.0,1.0,1.0,json
llama-3.1-8b,3,2,0.5,0.5,1.0,0.5,json
llama-3.1-8b,3,3,1.0,1.0,1.0,1.0,json
llama-3.1-8b,3,4,1.0,1.0,1.0,1.0,json
llama-3.1-8b,3,5,1.0,1.0,1.0,1.0,json
llama-3.1-8b,3,6,1.0,1.0,1.0,1.0,json
llama-3.1-8b,3,7,1.0,1.0,1.0,1.0,json
